-.09171,.66900,-1.67815	.02868,-.22501,.65517
-.08349,.66999,-1.67597	.02868,-.22501,.65517
-.08349,.66999,-1.67597	.02872,-.22524,.65515
-.08349,.66999,-1.67597	.02875,-.22552,.65509
-.07811,.67065,-1.67633	.02880,-.22589,.65503
-.07071,.67103,-1.67722	.02888,-.22608,.65504
-.07071,.67103,-1.67722	-.11562,-.14017,.68815
-.06719,.67071,-1.67783	-.11551,-.14021,.68815
-.06213,.67131,-1.67851	-.11549,-.14022,.68815
-.06213,.67131,-1.67851	-.11542,-.14024,.68815
-.06213,.67131,-1.67851	-.11537,-.14025,.68815
-.06213,.67131,-1.67851	-.11530,-.14026,.68814
-.06213,.67131,-1.67851	-.11527,-.14028,.68815
-.06213,.67131,-1.67851	-.11528,-.14028,.68816
-.06213,.67131,-1.67851	-.11530,-.14031,.68819
-.06213,.67131,-1.67851	-.11541,-.14037,.68830
-.06213,.67131,-1.67851	-.11546,-.14042,.68834
-.06213,.67131,-1.67851	-.06437,.50771,-.66554
-.06213,.67131,-1.67851	-.06204,.50733,-.66438
-.06213,.67131,-1.67851	-.05874,.50663,-.66240
-.06213,.67131,-1.67851	-.05592,.50574,-.66018
-.06213,.67131,-1.67851	-.05509,.50542,-.65943
-.06213,.67131,-1.67851	-.05395,.50495,-.65836
-.06213,.67131,-1.67851	-.05099,.50372,-.65552
-.06213,.67131,-1.67851	-.05044,.50348,-.65496
-.06213,.67131,-1.67851	-.04874,.50273,-.65307
-.06213,.67131,-1.67851	-.04708,.50200,-.65105
-.06213,.67131,-1.67851	-.04475,.50098,-.64759
-.06213,.67131,-1.67851	-.04424,.50082,-.64679
-.06213,.67131,-1.67851	-.04316,.50055,-.64499
-.06213,.67131,-1.67851	-.04209,.50040,-.64289
-.06213,.67131,-1.67851	-.04069,.50039,-.63935
-.06213,.67131,-1.67851	-.03972,.50050,-.63570
-.06213,.67131,-1.67851	-.03953,.50056,-.63477
-.06213,.67131,-1.67851	-.03922,.50065,-.63296
-.06213,.67131,-1.67851	-.03878,.50097,-.62836
-.06213,.67131,-1.67851	-.03873,.50106,-.62703
-.06213,.67131,-1.67851	-.03871,.50122,-.62399
-.06213,.67131,-1.67851	-.03883,.50138,-.62062
-.06213,.67131,-1.67851	-.03935,.50160,-.61492
-.06213,.67131,-1.67851	-.03951,.50166,-.61364
-.06213,.67131,-1.67851	-.04002,.50177,-.61042
-.06213,.67131,-1.67851	-.04064,.50184,-.60717
-.06213,.67131,-1.67851	-.04205,.50175,-.60147
-.06213,.67131,-1.67851	-.04348,.50153,-.59696
-.06213,.67131,-1.67851	-.04389,.50149,-.59583
-.06213,.67131,-1.67851	-.04469,.50146,-.59378
-.06213,.67131,-1.67851	-.04666,.50177,-.58942
.01582,.66150,-1.63210	-.04718,.50190,-.58839
.01582,.66150,-1.63210	-.04860,.50241,-.58559
.01500,.66153,-1.62351	-.05000,.50318,-.58301
.01500,.66153,-1.62351	-.05231,.50495,-.57880
.01336,.66150,-1.61650	-.05281,.50540,-.57793
.01336,.66150,-1.61650	-.05435,.50677,-.57527
.01205,.66136,-1.61292	-.05562,.50782,-.57314
.01205,.66136,-1.61292	-.05812,.50951,-.56925
.00922,.66157,-1.60677	-.06026,.51044,-.56613
